amount,oldbalanceOrg,tx_count_24h,avg_amount_24h,isFraud
24172.4,0.0,0,24172.4,0
36517.98,0.0,0,36517.98,0
2310.55,143679.0,0,2310.55,0
42555.34,0.0,0,42555.34,0
7428844.46,7428844.46,0,7428844.46,1
199455.84,11365.0,0,199455.84,0
15008.19,0.0,0,15008.19,0
6695070.79,6695070.79,0,6695070.79,1
43474.06,0.0,0,43474.06,0
1961356.82,0.0,0,1961356.82,0
245106.78,245106.78,0,245106.78,1
2872163.81,672.0,0,2872163.81,0
73864.57,0.0,0,73864.57,0
2561698.04,2561698.04,0,2561698.04,1
19527.35,19527.35,0,19527.35,1
33984.17,112338.58,0,33984.17,0
879810.51,879810.51,0,879810.51,1
40.82,659615.0,0,40.82,0
16360.91,0.0,0,16360.91,0
6620.29,11314.0,0,6620.29,0
233393.42,0.0,0,233393.42,0
5255.77,370068.0,0,5255.77,0
304635.77,8254030.41,0,304635.77,0
7681.27,63133.0,0,7681.27,0
158119.27,3057918.6,0,158119.27,0
19576.96,19576.96,0,19576.96,1
525380.8,5831806.1,0,525380.8,0
448266.86,448266.86,0,448266.86,1
17366.35,0.0,0,17366.35,0
388171.95,388171.95,0,388171.95,1
1786.13,47603.0,0,1786.13,0
12947.31,0.0,0,12947.31,0
344886.44,344886.44,0,344886.44,1
4194.93,2247.0,0,4194.93,0
156546.39,31082.0,0,156546.39,0
2480.23,20086.0,0,2480.23,0
114115.85,33652.0,0,114115.85,0
261532.09,492825.0,0,261532.09,0
115186.93,1936698.62,0,115186.93,0
188768.24,8088511.0,0,188768.24,0
598426.68,598426.68,0,598426.68,1
1298609.73,1298609.73,0,1298609.73,1
95474.74,0.0,0,95474.74,0
35027.9,30348.0,0,35027.9,0
3455440.17,3455440.17,0,3455440.17,1
8573.44,0.0,0,8573.44,0
612920.79,55399.0,0,612920.79,0
267326.07,0.0,0,267326.07,0
1576874.04,1576874.04,0,1576874.04,1
2388542.02,2388542.02,0,2388542.02,1
44857.98,30774.0,0,44857.98,0
178822.48,0.0,0,178822.48,0
244101.88,120492.0,0,244101.88,0
3651.0,0.0,0,3651.0,0
43250.6,602204.19,0,43250.6,0
1798215.73,1798215.73,0,1798215.73,1
1707.4,1707.4,0,1707.4,1
2068313.94,2068313.94,0,2068313.94,1
