step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
209,CASH_IN,540973.0,C1068416756,822798.45,1363771.45,C1714944517,1002711.34,461738.33,0,0
226,CASH_OUT,71103.38,C1523722088,43134.0,0.0,C407684157,2969928.2,3041031.58,0,0
186,CASH_OUT,181383.58,C243639914,39850.0,0.0,C224883029,178041.91,359425.49,0,0
22,PAYMENT,15147.36,C1171438294,522.0,0.0,M1609186947,0.0,0.0,0,0
283,CASH_IN,207034.0,C342472109,11023223.41,11230257.42,C2059262944,426534.95,219500.95,0,0
308,CASH_IN,303404.94,C2034792735,15768.0,319172.94,C1451939205,90076.94,0.0,0,0
41,CASH_OUT,146910.18,C163687901,40322.0,0.0,C2019147162,1605754.25,1752664.43,0,0
232,CASH_IN,363528.79,C544394692,6043119.76,6406648.55,C416435340,766863.94,403335.15,0,0
35,PAYMENT,47642.53,C815112191,410927.26,363284.73,M1802675255,0.0,0.0,0,0
14,PAYMENT,5187.31,C1298278521,15083.0,9895.69,M568303525,0.0,0.0,0,0
139,CASH_IN,202054.45,C1782453272,1706169.67,1908224.12,C244298918,414837.38,212782.93,0,0
43,CASH_IN,84939.77,C1862051143,8644063.17,8729002.94,C2084368882,3573238.96,3859968.22,0,0
250,CASH_OUT,552461.29,C417583674,41518.0,0.0,C1134329909,1440832.67,1993293.96,0,0
16,CASH_IN,371088.55,C1547399651,21174.0,392262.55,C1238617563,291478.0,0.0,0,0
306,CASH_OUT,536365.65,C1042772141,811848.0,275482.35,C259853185,576103.99,1112469.63,0,0
285,PAYMENT,26023.21,C144834563,0.0,0.0,M1760718133,0.0,0.0,0,0
307,CASH_IN,111411.55,C1341116012,3950924.9,4062336.45,C1256284437,4175606.48,4064194.94,0,0
13,PAYMENT,17704.21,C288330056,0.0,0.0,M366177941,0.0,0.0,0,0
250,PAYMENT,9419.74,C651496790,19742.0,10322.26,M1118525037,0.0,0.0,0,0
212,PAYMENT,2826.11,C348309692,0.0,0.0,M190415775,0.0,0.0,0,0
36,CASH_OUT,56041.03,C1563318862,0.0,0.0,C2141459588,154065.13,210106.16,0,0
18,CASH_OUT,72187.78,C1832498907,0.0,0.0,C61904053,169133.88,284013.16,0,0
37,PAYMENT,9220.36,C2054022810,0.0,0.0,M1107506646,0.0,0.0,0,0
254,CASH_IN,17998.45,C214830268,2680803.25,2698801.7,C1425088734,186839.88,168841.43,0,0
139,CASH_IN,128570.96,C198628563,27303534.54,27432105.5,C97354823,586617.15,458046.18,0,0
132,CASH_OUT,5363.17,C306063366,0.0,0.0,C163986528,1861534.64,1866897.81,0,0
17,CASH_OUT,22176.26,C2055271537,216556.0,194379.74,C183491570,6749477.78,7385890.06,0,0
351,TRANSFER,383232.7,C438711340,0.0,0.0,C1232002771,1486978.01,1870210.71,0,0
207,CASH_OUT,284434.54,C61030600,105809.0,0.0,C531731980,131340.25,415774.79,0,0
230,CASH_OUT,45882.89,C2017673550,0.0,0.0,C174532841,527285.61,573168.5,0,0
306,CASH_IN,199171.38,C1941142552,26317.0,225488.38,C1428674160,964424.77,687945.98,0,0
302,CASH_IN,152917.17,C1498920061,20617.0,173534.17,C702627850,374532.38,712611.43,0,0
134,PAYMENT,15821.33,C815252590,1924082.75,1908261.42,M1592835475,0.0,0.0,0,0
349,PAYMENT,18136.28,C89233799,0.0,0.0,M393450198,0.0,0.0,0,0
353,CASH_OUT,69993.69,C1644839235,28456.0,0.0,C244020046,739798.23,809791.91,0,0
332,PAYMENT,1700.89,C571235791,0.0,0.0,M1898323435,0.0,0.0,0,0
178,PAYMENT,23873.18,C343787363,0.0,0.0,M1975841162,0.0,0.0,0,0
252,CASH_IN,651963.14,C30860605,101074.0,753037.14,C188249338,0.0,0.0,0,0
